103.59.176.154:8080
103.9.191.1:60816
201.62.56.49:35816
190.152.5.17:39888
200.85.169.18:47548
103.121.199.142:8080
92.204.251.196:1080
212.120.186.39:60963
72.47.152.224:55443
103.200.38.190:3128
176.56.107.164:32585
45.118.205.164:55443
103.79.74.193:53879
181.129.52.155:42648
191.242.178.209:3128
37.233.98.34:3129
208.109.32.60:80
45.128.220.18:59394
82.33.214.117:8080
203.193.131.74:3128
78.138.99.75:1080
92.204.251.171:1080
152.228.132.66:1080
116.110.102.205:4004
47.242.199.162:59394
200.105.215.18:33630
181.196.205.250:38178
45.70.198.195:999
209.141.55.228:80
103.149.162.194:80
206.253.164.122:80
217.150.77.31:53281
116.73.14.16:8080
27.109.116.28:55443
172.105.112.122:80
71.19.250.92:9018
50.250.56.129:46456
193.242.151.43:8080
165.0.50.110:8080
199.19.225.250:80
199.19.224.3:80
163.172.35.121:8088
195.53.49.11:3128
210.48.204.134:46669
41.76.155.26:80
211.24.105.248:41917
80.66.81.35:53281
103.66.196.218:23500
95.161.188.246:38302
193.242.148.251:80
195.138.82.198:40301
186.219.96.47:54570
114.134.188.124:55667
134.19.254.2:21231
118.70.12.171:53281
161.35.4.201:80
199.19.226.12:80
103.159.194.205:8080
46.246.14.22:8888
52.53.114.181:443
206.253.164.198:80
23.251.138.105:8080
138.201.120.214:1080
3.110.203.131:80
47.242.199.2:59394
47.242.114.147:59394
194.5.193.183:80
45.174.70.18:53281
202.40.188.94:40486
209.141.56.127:80
101.99.95.54:80
47.243.233.113:59394
103.105.49.53:80
88.198.50.103:3128
176.9.75.42:8080
178.217.102.225:8118
206.253.164.28:80
34.138.225.120:8888
103.124.2.229:3128
197.85.7.76:80
68.183.56.232:80
185.61.152.137:8080
170.155.5.235:8080
102.22.193.41:55443
74.141.186.101:80
18.166.181.191:8083
206.253.164.146:80
206.253.164.110:80
209.141.35.151:80
172.107.96.30:443
152.32.182.62:80
185.191.164.114:26691
197.157.193.9:8080
185.61.92.207:43947
202.165.47.90:55443
116.203.151.201:80
206.253.164.120:80
206.253.164.101:80
206.253.164.108:80
116.105.20.208:4001
31.204.180.44:53281
212.19.7.246:3128
62.87.151.144:38615
79.135.219.223:8080
124.158.183.190:8080
135.148.41.222:8080
191.241.185.245:45006
191.102.64.146:999
190.109.6.121:999
41.33.66.228:34561
207.180.248.71:3128
159.223.95.14:8080
138.97.200.174:8080
192.99.160.45:8080
209.97.171.82:8080
45.172.110.77:999
185.110.211.217:8080
185.82.99.123:9091
103.4.164.204:8080
160.119.149.150:8080
200.255.122.174:8080
47.242.111.54:59394
181.129.74.58:40667
37.120.192.154:8080
155.0.181.254:43496
85.113.136.130:55443
49.156.47.162:8080
171.232.74.123:45006
1.32.59.217:47045
196.1.97.209:80
167.179.4.142:55443
5.58.33.187:55507
104.248.90.212:80
45.81.225.67:9060
103.83.118.10:55443
89.163.210.176:8118
184.155.36.194:8080
79.147.46.239:8080
105.242.158.92:3129
47.242.194.195:59394
45.128.220.137:59394
116.80.41.12:80
110.232.67.44:55443
46.0.203.186:8080
45.128.220.191:59394
125.99.100.193:40390
190.131.250.105:999
47.56.69.11:8000
109.234.34.246:8080
45.128.220.239:59394
185.134.21.25:59394
45.128.220.167:59394
20.47.108.204:8888
41.65.102.80:1981
125.209.116.14:8080
45.79.34.127:3128
188.133.152.25:1256
181.204.161.166:999
63.209.154.61:999
187.237.121.46:80
45.128.220.132:59394
182.253.93.4:53281
45.128.220.140:59394
41.60.239.183:8080
50.233.42.98:51696
177.22.249.14:8080
46.10.199.90:54567
134.209.28.98:3128
157.90.173.216:5566
134.209.42.113:8118
58.96.153.140:8080
77.20.106.126:9000
41.65.46.178:1981
150.107.207.137:61954
188.168.56.82:55443
164.83.224.106:8080
46.166.174.116:1080
47.74.226.8:5001
86.57.132.148:3128
85.195.104.71:80
181.224.204.22:22800
103.84.159.8:80
103.105.212.106:53281
141.94.203.123:80
41.79.191.181:80
176.56.107.242:52448
190.119.199.22:57333
45.70.6.235:5566
78.135.87.163:3128
103.91.67.146:80
50.193.36.173:8080
103.101.100.26:8080
207.180.238.119:3128
147.135.193.36:80
178.128.243.15:80
92.204.251.164:1080
54.36.176.76:1080
54.37.160.88:1080
117.20.216.218:8080
181.129.70.82:46752
37.59.203.130:1080
37.59.203.128:1080
107.152.42.16:80
129.226.125.228:31100
129.159.88.228:80
165.154.92.146:8888
45.128.220.184:59394
78.111.106.38:3147
82.64.151.182:80
176.120.213.241:41258
23.88.119.34:5566
103.6.184.222:39241
195.46.164.179:8118
124.107.167.225:8080
74.205.128.200:80
162.214.118.137:80
82.200.107.98:3128
83.171.114.92:45822
103.160.40.243:80
47.242.168.228:59394
82.223.21.37:80
186.208.81.214:3129
152.228.163.151:80
85.195.95.222:1080
175.125.23.246:8000
